"UNICODE","FECHA","INSP_COMPLETA"
"29.29.104.330","8/7/12",1
"29.29.104.317","8/13/12",1
"29.29.104.318","8/13/12",1
"29.29.104.319","8/13/12",1
"29.29.104.320","8/13/12",1
"29.29.104.321","8/13/12",1
"29.29.104.322","8/13/12",1
"29.29.104.323","8/13/12",1
"29.29.104.324","8/13/12",1
"29.29.104.326","8/13/12",1
"29.29.104.328","8/13/12",1
"29.29.104.329","8/13/12",1
"29.29.104.291","8/25/12",1
"29.29.104.292","8/25/12",1
"29.29.104.293","8/25/12",1
"29.29.104.294","8/25/12",1
"29.29.104.295","8/25/12",1
"29.29.104.297","8/25/12",1
"29.29.104.298","8/25/12",1
"29.29.104.300","8/25/12",1
"29.29.104.301","8/25/12",1
"29.29.104.350","11/6/13",1
"29.29.104.349","11/6/13",1
"29.29.104.348","11/6/13",1
"29.29.104.347","11/6/13",1
"29.29.104.346","11/6/13",1
"29.29.104.345","11/6/13",1
"29.29.104.357","11/6/13",1
"29.29.104.353","11/6/13",1
"29.29.104.354","11/6/13",1
"29.29.104.366","11/6/13",1
"29.29.104.383","11/8/13",1
"29.29.104.381","11/8/13",1
"29.29.104.380","11/8/13",1
"29.29.104.379","11/8/13",1
"29.29.104.377","11/8/13",1
"29.29.104.391","11/8/13",1
"29.29.104.385","11/8/13",1
"29.29.104.401","11/8/13",1
"29.29.104.400","11/8/13",1
"29.29.104.397","11/8/13",1
"29.29.104.394","11/13/13",1
"29.29.104.395","11/13/13",1
"29.29.104.410","11/13/13",1
"29.29.104.409","11/13/13",1
"29.29.104.408","11/13/13",1
"29.29.104.407","11/13/13",1
"29.29.104.406","11/13/13",1
"29.29.104.404","11/13/13",1
"29.29.104.666A","11/13/13",1
"29.29.104.661","11/13/13",1
"29.29.104.359","11/14/13",NA
"29.29.104.375","11/14/13",1
"29.29.104.376","11/14/13",1
"29.29.104.378","11/14/13",1
"29.29.104.370","11/14/13",1
"29.29.104.367","11/14/13",1
"29.29.104.368","11/14/13",1
"29.29.104.384","11/14/13",1
"29.29.104.369","11/14/13",1
"29.29.104.382","11/14/13",1
"29.29.104.732","11/21/13",1
"29.29.104.733","11/21/13",1
"29.29.104.730","11/21/13",1
"29.29.104.736","11/21/13",1
"29.29.104.726","11/21/13",1
"29.29.104.725","11/21/13",1
"29.29.104.741","11/21/13",1
"29.29.104.740","11/21/13",1
"29.29.104.739","11/21/13",1
"29.29.104.750","11/21/13",1
"29.29.104.690","11/27/13",1
"29.29.104.709","11/27/13",1
"29.29.104.705","11/27/13",1
"29.29.104.703","11/27/13",1
"29.29.104.698","11/27/13",1
"29.29.104.718","11/27/13",1
"29.29.104.717","11/27/13",1
"29.29.104.716","11/27/13",1
"29.29.104.713","11/27/13",1
"29.29.104.712","11/27/13",1
"29.29.104.811","12/27/13",NA
"29.29.104.810","12/27/13",1
"29.29.104.809","12/27/13",1
"29.29.104.808","12/27/13",1
"29.29.104.807","12/27/13",1
"29.29.104.806","12/27/13",1
"29.29.104.805","12/27/13",1
"29.29.104.824","12/27/13",1
"29.29.104.843","12/27/13",1
"29.29.104.840","12/27/13",1
"29.29.104.837","12/26/13",1
"29.29.104.836","12/26/13",1
"29.29.104.835","12/26/13",NA
"29.29.104.834","12/26/13",1
"29.29.104.841","12/26/13",1
"29.29.104.833","12/26/13",NA
