"UNICODE" "codeLoc" "LATITUDE" "LONGITUDE" "recentinsp" "not_sprayed" "probability" "uncertainty" "time"
"1.10.38.811" "1.10.38" -16.40867912 -71.50645941 "2017-05-16" 0 0.0246305577617788 0.135998633969124 2
"1.10.38.701" "1.10.38" -16.40871424 -71.50330917 "2011-06-07" 0 0.0246299290171861 0.135868292301502 8
"1.10.38.640" "1.10.38" -16.40997835 -71.50610432 "2017-05-15" 1 0.0246169606679318 0.134544996434217 2
"1.10.38.672" "1.10.38" -16.4096755 -71.50456387 "2017-05-20" 0 0.0245369979279297 0.13534680648371 2
"1.10.38.778" "1.10.38" -16.4087936 -71.50513214 "2017-08-30" 0 0.0245150858736869 0.135573670255686 2
"1.10.38.933" "1.10.38" -16.40844862 -71.50668945 "2017-05-26" 0 0.0245121839281067 0.135585273087122 2
"1.10.38.810" "1.10.38" -16.40869193 -71.50653126 "2017-05-16" 0 0.024494968554189 0.135595407011045 2
"1.10.38.678" "1.10.38" -16.40938168 -71.50404874 "2017-08-28" 1 0.024493556800988 0.134346600488686 2
"1.10.38.942" "1.10.38" -16.40840204 -71.50709676 "2017-09-08" 0 0.0244701777457535 0.13535509212533 2
"1.10.38.847" "1.10.38" -16.40894941 -71.50664529 "2017-04-12" 0 0.0243744721518653 0.135235794551468 2
"1.10.38.577" "1.10.38" -16.41053608 -71.5071559 "2017-05-04" 0 0.0243497226033551 0.135176634646266 2
"1.10.38.659" "1.10.38" -16.41016148 -71.50603561 "2017-05-18" 1 0.0243412022783206 0.134080375558336 2
"1.10.38.533" "1.10.38" -16.41044109 -71.50759823 "2017-04-11" 0 0.0243368962140095 0.135209611900901 2
"1.10.38.551" "1.10.38" -16.41074305 -71.50717806 "2017-07-31" 0 0.0243314249440399 0.134779622325266 2
"1.10.38.567" "1.10.38" -16.4101406 -71.50706286 "2017-04-22" 0 0.0243221169603875 0.135197273596846 2
"1.10.38.777" "1.10.38" -16.40882571 -71.50520602 "2017-05-12" 0 0.0242886028526551 0.134898293766362 2
"1.10.38.530" "1.10.38" -16.41017757 -71.50767993 "2017-04-10" 0 0.0242658015827123 0.135009981892268 2
"1.10.38.788" "1.10.38" -16.40938812 -71.50561413 "2017-05-15" 0 0.0242523043877775 0.134798338584409 2
"1.10.38.922" "1.10.38" -16.40822001 -71.50572271 "2017-05-25" 0 0.0242091307555739 0.134762659600172 2
"1.10.38.819" "1.10.38" -16.40850137 -71.50569063 "2017-05-18" 0 0.0241973253846323 0.134770942342642 2
"1.10.38.560" "1.10.38" -16.4098827 -71.50744105 "2017-04-21" 0 0.0241374465744221 0.134595714891071 2
"1.10.38.920" "1.10.38" -16.40818362 -71.50560696 "2017-05-25" 0 0.0241317757807721 0.134538942179042 2
"1.10.38.807" "1.10.38" -16.40873251 -71.50670496 "2017-05-16" 0 0.0241155359101124 0.134438242578435 2
"1.10.38.576" "1.10.38" -16.41051672 -71.50709178 "2017-05-04" 0 0.0241007433260162 0.134444026021881 2
"1.10.38.646" "1.10.38" -16.41020412 -71.50661634 "2017-05-16" 0 0.0240875459804224 0.134471806543488 2
"1.10.38.539" "1.10.38" -16.41038601 -71.5079948 "2017-04-13" 0 0.0240703006432043 0.134304952127462 2
"1.10.38.803" "1.10.38" -16.40890393 -71.50689422 "2017-08-30" 0 0.0240645908016733 0.134222403527537 2
"1.10.38.877" "1.10.38" -16.40830126 -71.50436693 "2017-01-22" 0 0.0240631257160013 0.135201302971686 2
"1.10.38.732" "1.10.38" -16.40856335 -71.50380412 "2012-07-02" 0 0.0240267590105154 0.134377611184183 7
"1.10.38.717" "1.10.38" -16.40860143 -71.50350639 "2017-03-03" 0 0.0240182461004771 0.134052449240026 2
"1.10.38.758" "1.10.38" -16.40817979 -71.50337377 "2012-06-27" 0 0.0240084338165275 0.13421245133847 7
"1.10.38.550" "1.10.38" -16.41074063 -71.50728785 "2017-07-31" 0 0.0239873482987134 0.133661903244875 2
"1.10.38.806" "1.10.38" -16.40875652 -71.5067785 "2017-05-17" 0 0.0239639816986856 0.133964908891425 2
"1.10.38.532A" "1.10.38" -16.41039432 -71.50759718 "2012-07-12" 0 0.0238711579471098 0.133829618740444 7
"1.10.38.532" "1.10.38" -16.41037492 -71.50760556 "2017-04-10" 0 0.0238693161674753 0.133826933244764 2
"1.10.38.805" "1.10.38" -16.40876504 -71.50685333 "2017-05-26" 0 0.0238453820483164 0.133582287041719 2
"1.10.38.781" "1.10.38" -16.40869447 -71.50490906 "2017-08-30" 0 0.0238363339307643 0.133533217914074 2
"1.10.38.834" "1.10.38" -16.40862376 -71.50546585 "2017-05-22" 0 0.0238332235036941 0.133700330924358 2
"1.10.38.729" "1.10.38" -16.40842336 -71.5035869 "2017-03-03" 0 0.0237988765285704 0.133706126482566 2
"1.10.38.767" "1.10.38" -16.40921839 -71.50549538 "2017-08-30" 0 0.0237982132829015 0.133372007080238 2
"1.10.38.620" "1.10.38" -16.40922181 -71.50691567 "2017-05-10" 0 0.0237742607496031 0.133510208348109 2
"1.10.38.565" "1.10.38" -16.41000216 -71.50711726 "2017-04-21" 0 0.0237517277052726 0.133479174419604 2
"1.10.38.608" "1.10.38" -16.4094541 -71.50709093 "2017-05-08" 0 0.0237399018265614 0.133447423519816 2
"1.10.38.596" "1.10.38" -16.40871623 -71.50768425 "2017-05-04" 1 0.0237125840417297 0.132191458100289 2
"1.10.38.850" "1.10.38" -16.40826963 -71.50479253 "2017-01-20" 0 0.0236988745377314 0.134289860271229 2
"1.10.38.595" "1.10.38" -16.40865182 -71.50777669 "2017-05-04" 1 0.0236707834062566 0.131782617954544 2
"1.10.38.517" "1.10.38" -16.40937264 -71.50841602 "2017-04-06" 1 0.0236496411770921 0.13264357367022 2
"1.10.38.594" "1.10.38" -16.40855344 -71.50789792 "2017-05-04" 1 0.0236289706865439 0.131437237947816 2
"1.10.38.759" "1.10.38" -16.40810927 -71.50326395 "2012-06-27" 0 0.0236077778390089 0.13291453302025 7
"1.10.38.872" "1.10.38" -16.40810393 -71.50379196 "2012-07-10" 0 0.0236042652934591 0.133552818899495 7
"1.10.38.611" "1.10.38" -16.40926126 -71.5071753 "2017-05-08" 0 0.0235908139502792 0.133057894811894 2
"1.10.38.727" "1.10.38" -16.40834491 -71.50344972 "2012-07-24" 0 0.023585981993287 0.132991355368168 7
